"Prihodi in prenoèitve turistov po: STATISTIÈNA REGIJA, SKUPINE"
"NASTANITVENIH OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"Pomurska"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";38529
" ";" ";" ";"2009";30574
" ";" ";" ";"2010";40035
" ";" ";" ";"2011";40876
" ";" ";" ";"2012";42197
" ";" ";" ";"2013";47667
" ";" ";" ";"2014";49881
" ";" ";" ";"2015";49615
" ";" ";"TUJI"
" ";" ";" ";"2008";101332
" ";" ";" ";"2009";91208
" ";" ";" ";"2010";139321
" ";" ";" ";"2011";162928
" ";" ";" ";"2012";186388
" ";" ";" ";"2013";209060
" ";" ";" ";"2014";229992
" ";" ";" ";"2015";272290
"Gorenjska"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";153438
" ";" ";" ";"2009";178849
" ";" ";" ";"2010";167482
" ";" ";" ";"2011";154773
" ";" ";" ";"2012";140682
" ";" ";" ";"2013";134850
" ";" ";" ";"2014";122347
" ";" ";" ";"2015";162017
" ";" ";"TUJI"
" ";" ";" ";"2008";807087
" ";" ";" ";"2009";714343
" ";" ";" ";"2010";760091
" ";" ";" ";"2011";806756
" ";" ";" ";"2012";803164
" ";" ";" ";"2013";844720
" ";" ";" ";"2014";873718
" ";" ";" ";"2015";923170
" ";"Kampi"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";19023
" ";" ";" ";"2009";20841
" ";" ";" ";"2010";21247
" ";" ";" ";"2011";24421
" ";" ";" ";"2012";28210
" ";" ";" ";"2013";24631
" ";" ";" ";"2014";17988
" ";" ";" ";"2015";29709
" ";" ";"TUJI"
" ";" ";" ";"2008";228332
" ";" ";" ";"2009";206963
" ";" ";" ";"2010";192198
" ";" ";" ";"2011";213107
" ";" ";" ";"2012";250355
" ";" ";" ";"2013";260173
" ";" ";" ";"2014";214978
" ";" ";" ";"2015";260851
" ";"Ostali nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";240211
" ";" ";" ";"2009";253281
" ";" ";" ";"2010";265968
" ";" ";" ";"2011";248975
" ";" ";" ";"2012";229926
" ";" ";" ";"2013";231602
" ";" ";" ";"2014";217520
" ";" ";" ";"2015";232171
" ";" ";"TUJI"
" ";" ";" ";"2008";151542
" ";" ";" ";"2009";146099
" ";" ";" ";"2010";177909
" ";" ";" ";"2011";192793
" ";" ";" ";"2012";218316
" ";" ";" ";"2013";276590
" ";" ";" ";"2014";294737
" ";" ";" ";"2015";376951
"Primorsko-notranjska"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"DOMAÈI"
" ";" ";" ";"2008";8316
" ";" ";" ";"2009";4361
